"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"89,417,000","86,852,000","89,417,000","87,692,000",1715000,1.96%,2025/09/02,1404/06/11
"86,101,000","86,101,000","89,726,000","89,407,000",3289000,3.82%,2025/08/31,1404/06/09
"83,446,000","83,446,000","88,064,000","86,118,000",2683000,3.22%,2025/08/30,1404/06/08
"82,975,000","82,675,000","84,278,000","83,435,000",471000,0.57%,2025/08/28,1404/06/06
"80,948,000","80,805,000","83,100,000","82,964,000",3290000,4.13%,2025/08/27,1404/06/05
"78,638,000","78,638,000","79,822,000","79,674,000",1057000,1.34%,2025/08/26,1404/06/04
"77,654,000","77,654,000","78,783,000","78,617,000",970000,1.25%,2025/08/25,1404/06/03
"78,455,000","76,881,000","78,455,000","77,647,000",806000,1.04%,2025/08/23,1404/06/01
"77,324,000","77,324,000","78,621,000","78,453,000",1101000,1.42%,2025/08/21,1404/05/30
"75,959,000","75,959,000","77,375,000","77,352,000",1420000,1.87%,2025/08/20,1404/05/29
"75,867,000","75,867,000","76,567,000","75,932,000",63000,0.08%,2025/08/19,1404/05/28
"75,121,000","75,121,000","76,082,000","75,869,000",738000,0.98%,2025/08/18,1404/05/27
"73,997,000","73,997,000","75,389,000","75,131,000",1113000,1.5%,2025/08/17,1404/05/26
"76,225,000","73,854,000","76,225,000","74,018,000",2219000,3%,2025/08/16,1404/05/25
"75,791,000","75,609,000","76,243,000","76,237,000",1741000,2.34%,2025/08/13,1404/05/22
"74,974,000","74,339,000","75,089,000","74,496,000",468000,0.63%,2025/08/12,1404/05/21
"74,925,000","74,870,000","75,482,000","74,964,000",41000,0.05%,2025/08/11,1404/05/20
"74,579,000","74,177,000","75,158,000","74,923,000",346000,0.46%,2025/08/10,1404/05/19
"75,953,000","74,316,000","75,953,000","74,577,000",1357000,1.82%,2025/08/09,1404/05/18
"75,941,000","75,819,000","76,357,000","75,934,000",7000,0.01%,2025/08/06,1404/05/15
"76,497,000","75,218,000","76,497,000","75,927,000",483000,0.64%,2025/08/05,1404/05/14
"76,747,000","74,877,000","77,273,000","76,410,000",314000,0.41%,2025/08/04,1404/05/13
"75,126,000","75,057,000","76,899,000","76,724,000",1476000,1.96%,2025/08/03,1404/05/12
"73,965,000","73,965,000","75,782,000","75,248,000",1267000,1.71%,2025/08/02,1404/05/11
"72,116,000","72,099,000","74,274,000","73,981,000",1872000,2.6%,2025/08/01,1404/05/10
"71,499,000","71,499,000","72,434,000","72,109,000",624000,0.87%,2025/07/30,1404/05/08
"71,455,000","71,370,000","71,903,000","71,485,000",44000,0.06%,2025/07/29,1404/05/07
"71,250,000","71,248,000","71,880,000","71,441,000",217000,0.3%,2025/07/28,1404/05/06
"70,282,000","70,282,000","71,737,000","71,224,000",969000,1.38%,2025/07/27,1404/05/05
"70,119,000","69,724,000","70,308,000","70,255,000",169000,0.24%,2025/07/26,1404/05/04
"71,086,000","69,932,000","71,151,000","70,086,000",984000,1.4%,2025/07/25,1404/05/03
"71,347,000","70,968,000","71,347,000","71,070,000",274000,0.39%,2025/07/23,1404/05/01
"72,499,000","71,268,000","72,499,000","71,344,000",481000,0.67%,2025/07/22,1404/04/31
"71,490,000","71,347,000","71,993,000","71,825,000",1039000,1.47%,2025/07/21,1404/04/30
"69,428,000","69,428,000","70,855,000","70,786,000",1335000,1.92%,2025/07/20,1404/04/29
"69,842,000","69,246,000","69,922,000","69,451,000",400000,0.58%,2025/07/19,1404/04/28
"70,804,000","69,851,000","70,804,000","69,851,000",967000,1.38%,2025/07/18,1404/04/27
"71,278,000","70,737,000","71,344,000","70,818,000",457000,0.65%,2025/07/16,1404/04/25
"71,091,000","70,668,000","71,465,000","71,275,000",489000,0.69%,2025/07/15,1404/04/24
"71,716,000","71,206,000","72,630,000","71,261,000",296000,0.42%,2025/07/14,1404/04/23
"69,641,000","69,636,000","72,083,000","71,557,000",1893000,2.72%,2025/07/12,1404/04/21
"70,656,000","69,347,000","70,656,000","69,664,000",889000,1.28%,2025/07/11,1404/04/20
"70,465,000","70,149,000","70,749,000","70,553,000",222000,0.32%,2025/07/09,1404/04/18
"69,477,000","69,237,000","70,578,000","70,331,000",1007000,1.45%,2025/07/08,1404/04/17
"71,465,000","69,015,000","71,465,000","69,324,000",2064000,2.98%,2025/07/07,1404/04/16
"74,390,000","71,139,000","74,390,000","71,388,000",2983000,4.18%,2025/07/06,1404/04/15
"74,925,000","73,861,000","75,459,000","74,371,000",626000,0.84%,2025/07/02,1404/04/11
"74,025,000","72,951,000","75,223,000","74,997,000",924000,1.25%,2025/07/01,1404/04/10
"73,418,000","73,418,000","76,059,000","74,073,000",510000,0.69%,2025/06/30,1404/04/09
"70,871,000","70,857,000","74,597,000","73,563,000",2888000,4.09%,2025/06/29,1404/04/08
"67,422,000","67,413,000","71,418,000","70,675,000",3234000,4.8%,2025/06/28,1404/04/07
"67,173,000","66,912,000","67,858,000","67,441,000",252000,0.38%,2025/06/27,1404/04/06
"66,829,000","66,813,000","67,678,000","67,189,000",552000,0.82%,2025/06/25,1404/04/04
"65,813,000","65,813,000","68,094,000","67,741,000",1854000,2.81%,2025/06/11,1404/03/21
"64,631,000","64,631,000","66,083,000","65,887,000",1277000,1.98%,2025/06/10,1404/03/20
"65,504,000","64,185,000","65,504,000","64,610,000",903000,1.4%,2025/06/09,1404/03/19
"65,714,000","65,312,000","65,864,000","65,513,000",510000,0.78%,2025/06/08,1404/03/18
"64,326,000","64,326,000","65,250,000","65,003,000",725000,1.13%,2025/06/07,1404/03/17
"66,284,000","64,275,000","66,284,000","64,278,000",1895000,2.95%,2025/06/06,1404/03/16
"66,132,000","65,741,000","66,355,000","66,173,000",120000,0.18%,2025/06/02,1404/03/12
"64,169,000","64,169,000","66,404,000","66,053,000",1893000,2.95%,2025/06/01,1404/03/11
"64,476,000","63,846,000","64,603,000","64,160,000",263000,0.41%,2025/05/31,1404/03/10
"65,136,000","64,238,000","65,139,000","64,423,000",23000,0.04%,2025/05/30,1404/03/09
"64,303,000","63,814,000","64,446,000","64,400,000",23000,0.04%,2025/05/28,1404/03/07
"64,599,000","64,259,000","65,153,000","64,423,000",180000,0.28%,2025/05/27,1404/03/06
"64,735,000","64,384,000","64,850,000","64,603,000",210000,0.33%,2025/05/26,1404/03/05
"64,183,000","64,063,000","65,000,000","64,813,000",550000,0.85%,2025/05/25,1404/03/04
"65,707,000","65,060,000","65,762,000","65,363,000",325000,0.5%,2025/05/24,1404/03/03
"65,296,000","65,296,000","66,702,000","65,688,000",371000,0.57%,2025/05/23,1404/03/02
"64,834,000","64,809,000","65,501,000","65,317,000",499000,0.77%,2025/05/21,1404/02/31
"65,910,000","64,781,000","68,486,000","64,818,000",1108000,1.71%,2025/05/20,1404/02/30
"64,141,000","63,580,000","67,494,000","65,926,000",3359000,5.37%,2025/05/19,1404/02/29
"62,934,000","62,544,000","63,290,000","62,567,000",360000,0.58%,2025/05/18,1404/02/28
"63,075,000","61,486,000","63,308,000","62,207,000",891000,1.43%,2025/05/17,1404/02/27
"64,423,000","63,079,000","64,599,000","63,098,000",1249000,1.98%,2025/05/16,1404/02/26
"64,652,000","63,680,000","64,652,000","64,347,000",258000,0.4%,2025/05/14,1404/02/24
"65,746,000","64,462,000","65,748,000","64,605,000",1217000,1.88%,2025/05/13,1404/02/23
"66,009,000","65,224,000","66,099,000","65,822,000",411000,0.63%,2025/05/12,1404/02/22
"65,665,000","65,093,000","65,896,000","65,411,000",1071000,1.64%,2025/05/11,1404/02/21
"67,187,000","66,289,000","68,544,000","66,482,000",707000,1.06%,2025/05/10,1404/02/20
"67,009,000","66,351,000","67,369,000","67,189,000",231000,0.34%,2025/05/09,1404/02/19
"66,635,000","66,635,000","67,503,000","66,958,000",275000,0.41%,2025/05/07,1404/02/17
"66,893,000","66,399,000","67,533,000","66,683,000",206000,0.31%,2025/05/06,1404/02/16
"67,796,000","66,566,000","67,796,000","66,889,000",909000,1.36%,2025/05/05,1404/02/15
"67,641,000","67,445,000","68,230,000","67,798,000",270000,0.4%,2025/05/04,1404/02/14
"67,771,000","67,701,000","68,925,000","68,068,000",309000,0.46%,2025/05/03,1404/02/13
"64,255,000","64,255,000","68,394,000","67,759,000",3585000,5.59%,2025/05/02,1404/02/12
"64,885,000","63,964,000","64,885,000","64,174,000",695000,1.08%,2025/04/30,1404/02/10
"64,901,000","64,412,000","65,254,000","64,869,000",41000,0.06%,2025/04/29,1404/02/09
"64,862,000","64,068,000","64,998,000","64,910,000",437000,0.67%,2025/04/28,1404/02/08
"65,901,000","64,742,000","66,339,000","65,347,000",1593000,2.44%,2025/04/27,1404/02/07
"66,614,000","66,508,000","68,528,000","66,940,000",409000,0.61%,2025/04/26,1404/02/06
"65,095,000","64,019,000","67,115,000","66,531,000",1466000,2.25%,2025/04/25,1404/02/05
"65,734,000","64,229,000","65,734,000","65,065,000",628000,0.97%,2025/04/22,1404/02/02
"66,335,000","65,035,000","66,418,000","65,693,000",637000,0.97%,2025/04/21,1404/02/01
"65,571,000","65,571,000","67,694,000","66,330,000",787000,1.2%,2025/04/20,1404/01/31
"65,501,000","64,266,000","65,829,000","65,543,000",101000,0.15%,2025/04/19,1404/01/30
"68,685,000","65,591,000","68,685,000","65,644,000",3066000,4.67%,2025/04/18,1404/01/29
"69,749,000","68,364,000","69,749,000","68,710,000",1044000,1.52%,2025/04/16,1404/01/27
